AI_Assistant_Score,Smart_Workflows_Score,GlassMorphism_Score,PanelUI_Score,ColorGradient_Score,Transparency_Score,CapsuleUI_Score,Product_Sales
6,2,3,5,10,6,7,142.92
3,1,5,2,1,7,0,44.05
10,4,3,5,9,2,8,196.69
7,9,2,6,2,5,6,184.35
4,5,6,10,2,0,2,115.12
6,6,7,9,4,6,7,195.07
9,3,3,9,4,0,6,154.17
2,6,1,2,1,8,10,50.37
6,10,9,6,9,0,7,215.95
10,7,2,2,5,0,5,206.15
10,10,0,1,4,6,8,190.96
7,0,7,9,5,1,4,153.73
4,5,2,3,0,4,2,71.11
3,7,9,7,4,7,2,125.01
7,4,6,8,8,7,0,218.51
7,3,9,6,9,2,7,227.58
2,1,4,0,1,6,1,74.36
5,5,9,2,0,2,2,136.54
4,5,4,8,9,5,7,118.37
1,10,6,0,10,5,7,158.22
7,0,8,8,8,2,10,172.73
5,8,4,7,9,6,3,167.17
1,10,0,0,8,2,3,78.93
4,5,9,5,8,7,4,108.86
0,2,9,4,5,9,5,34.5
9,3,0,5,7,3,4,105.75
5,10,1,9,10,0,6,166.58
8,3,5,4,0,3,1,140.67
0,2,8,5,9,6,6,56.72
10,9,7,4,3,10,9,216.79
10,2,4,10,0,3,6,150.6
9,2,0,4,7,5,0,148.01
2,3,6,3,0,8,6,42.0
6,6,4,2,2,0,4,164.84
3,3,5,2,3,4,2,100.63
8,8,6,3,7,10,2,232.91
2,0,2,8,5,6,3,64.66
4,7,9,1,9,0,1,123.36
2,6,2,8,6,3,1,107.07
6,1,4,0,7,5,0,139.44
4,7,5,0,1,1,4,141.57
8,0,8,4,9,9,3,171.56
6,10,4,5,10,4,10,166.15
1,8,0,5,7,10,9,81.97
3,8,3,2,2,9,1,110.52
8,1,4,6,6,0,2,145.02
1,6,9,8,2,5,6,111.91
9,9,9,10,6,5,6,235.62
8,2,4,9,10,3,3,165.24
9,6,6,7,1,7,4,174.45
4,9,3,5,9,3,4,159.33
1,8,0,7,5,7,5,49.3
3,3,4,4,2,7,8,105.13
6,0,6,7,2,4,1,119.6
7,1,9,9,8,3,4,199.52
2,0,9,3,6,1,2,123.56
0,4,5,9,4,10,3,8.65
3,4,4,7,9,2,9,101.26
1,10,3,9,6,2,5,154.41
7,6,1,1,8,3,7,159.16
3,8,3,4,0,3,0,107.94
1,8,9,8,6,9,9,148.55
5,2,9,3,5,10,7,124.75
5,2,2,10,9,10,10,121.88
9,2,9,5,8,4,6,156.08
3,3,0,0,0,3,0,66.63
5,7,7,8,3,10,1,154.37
1,5,4,0,8,9,2,55.31
9,7,3,4,3,7,0,237.65
1,0,7,3,9,5,8,52.66
9,7,6,2,2,5,7,219.05
3,3,1,5,8,7,1,59.64
7,10,0,1,1,6,8,176.58
6,0,10,2,3,9,6,152.01
8,7,3,4,5,10,8,163.62
7,3,7,8,1,9,5,125.24
4,5,1,1,7,7,5,121.42
1,7,2,9,7,1,10,113.79
4,3,0,7,0,8,3,34.6
7,2,0,1,2,0,9,98.53
9,8,2,10,9,7,9,171.72
8,2,10,4,8,10,1,156.97
8,8,4,6,4,3,6,158.95
0,1,2,7,5,3,4,-17.25
8,1,0,0,3,4,10,125.05
6,1,0,5,9,7,5,101.62
8,5,7,0,1,4,1,117.0
7,2,9,1,10,7,4,169.61
0,8,10,0,7,9,9,126.18
7,3,1,10,10,0,3,149.23
7,0,2,4,5,9,8,129.73
10,3,1,9,4,8,5,126.57
2,0,2,8,8,5,1,59.53
